Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:46415000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;datains;dataalt;respalt;tecnico;medidorvazao
46415000;2;20/07/1987;01/01/1900 07:00:00;53;88;25,9;52,82;42,00;0,490;1,26;;;;;;
46415000;2;24/05/1992;01/01/1900 07:00:00;64;93;35,8;57,41;43,40;0,623;1,32;;;;;;
46415000;2;18/02/1989;01/01/1900 07:00:00;59;101;43;60,05;45,00;0,716;0,96;;;;;;
46415000;2;23/03/1989;01/01/1900 07:00:00;60;97;39,8;57,89;42,50;0,687;1,36;;;;;;
46415000;2;31/08/1999;01/01/1900 07:00:00;105;65;17,6;41,9;37,90;0,419;1,11;;;;;;
46415000;2;13/02/2000;01/01/1900 07:00:00;109;93;32,5;50,7;41,00;0,641;1,24;;;;;;
46415000;2;26/11/1999;01/01/1900 07:00:00;108;97;43,8;60;41,10;0,730;1,46;;;;;;
46415000;2;31/08/1999;01/01/1900 07:00:00;106;65;17,1;42;37,90;0,407;1,11;;;;;;
46415000;2;21/05/1999;01/01/1900 07:00:00;104;71;21,9;45,4;39,20;0,481;1,16;;;;;;
46415000;2;26/11/1999;01/01/1900 07:00:00;107;97;43,6;59;41,10;0,738;1,44;;;;;;
46415000;1;31/07/2004;01/01/1900 10:25:00;119;68;20,146;43,35;40,00;0,465;1,08;;;;;;
46415000;1;13/10/2004;01/01/1900 14:20:00;120;67;20,772;46,25;40,80;0,449;1,13;;;;;;
46415000;1;09/06/2005;01/01/1900 11:45:00;121;71;23,686;46,78;40,50;0,506;1,16;;;;;;
46415000;1;18/09/2005;01/01/1900 09:20:00;122;59;16,016;41,78;40,00;0,383;1,05;;;;;;
46415000;2;31/07/2004;01/01/1900 10:25:00;119;68;20,146;43,35;40,00;0,465;1,08;;;;;;
46415000;2;13/10/2004;01/01/1900 14:20:00;120;67;20,772;46,25;40,80;0,449;1,13;;;;;;
46415000;2;09/06/2005;01/01/1900 11:45:00;121;71;23,686;46,78;40,50;0,506;1,16;;;;;;
46415000;2;18/09/2005;01/01/1900 09:20:00;122;59;16,016;41,78;40,00;0,383;1,05;;;;;;
46415000;1;28/07/2006;01/01/1900 09:50:00;123;65;19,495;44,24;40,50;0,441;1,09;;;;;;
46415000;2;28/07/2006;01/01/1900 09:50:00;123;65;19,495;44,24;40,50;0,441;1,09;;;;;;
46415000;1;03/04/2007;01/01/1900 08:30:00;124;64;19,536;45,97;40,00;0,425;1,15;;;;;;
46415000;1;17/08/2007;01/01/1900 11:50:00;125;59;16,664;41,19;39,40;0,405;1,05;;;;;;
46415000;1;02/12/2008;01/01/1900 11:19:00;128;83;29;51,9;41,00;0,558;1,27;;;;;;
46415000;1;13/08/2008;01/01/1900 13:20:00;127;59;15,234;44,75;39,60;0,340;1,13;;;;;;
46415000;1;06/07/2009;01/01/1900 11:15:00;129;67;20,113;45,77;40,00;0,439;1,14;;;;;;
46415000;1;13/10/2009;01/01/1900 15:40:00;130;69;20,656;86,85;40,90;0,441;1,15;;;;;;
46415000;1;01/02/2010;01/01/1900 10:45:00;131;72;17,105;46,51;40,50;0,368;1,15;;;;;;
46415000;1;01/02/2010;01/01/1900 12:35:00;132;72;15,692;45,09;40,50;0,348;1,11;;;;;;
46415000;1;20/04/2010;01/01/1900 12:15:00;133;75;22,353;48,64;40,00;0,460;1,22;;;;;;
46415000;1;14/04/2011;01/01/1900 10:45:00;134;86;30,527;50,197;40,70;0,608;1,23;;;;;;
46415000;1;16/05/1998;01/01/1900 07:00:00;97;72;24,5;47,77;38,50;0,512;1,24;;;;;;
46415000;1;16/05/1998;01/01/1900 07:00:00;98;72;24,8;47,29;38,50;0,525;1,23;;;;;;
46415000;1;16/05/1998;01/01/1900 07:00:00;99;72;24,5;47,77;38,50;0,512;1,24;;;;;;
46415000;1;16/05/1998;01/01/1900 07:00:00;100;72;24,8;47,29;38,50;0,525;1,23;;;;;;
46415000;1;14/10/2011;01/01/1900 11:15:30;135;64;17,142;44,461;40,00;0,386;1,11;;;;;;
46415000;1;06/02/2012;01/01/1900 14:29:00;137;82;33,84;51,222;38,50;0,661;1,33;;;;;;
46415000;1;06/02/2012;01/01/1900 13:20:00;136;82;34,348;50,65;38,50;0,678;1,32;;;;;;
46415000;1;13/07/2012;01/01/1900 14:23:30;138;63;16,911;43,696;38,40;0,387;1,14;;;;;;
46415000;1;24/10/2012;01/01/1900 11:27:00;139;63;16,568;41,721;38,50;0,397;1,08;;;;;;
46415000;1;17/04/2013;01/01/1900 10:05:30;140;80;28,139;49,895;39,50;0,564;1,26;;;;;;
46415000;1;02/10/2013;01/01/1900 13:27:00;141;59;15,098;41,942;39,00;0,360;1,08;;;;;;
46415000;1;04/12/2013;01/01/1900 09:25:00;142;76;24,812;48,842;39,50;0,508;1,24;;;;;;
46415000;1;25/02/2014;01/01/1900 10:34:00;143;77;24,803;49,535;39,00;0,501;1,27;;;;;;
46415000;1;24/06/2014;01/01/1900 09:34:00;144;64;15,799;42,54;39,00;0,371;1,09;;;;;;
46415000;1;24/06/2014;01/01/1900 10:39:00;145;64;16,078;42,625;39,00;0,377;1,09;;;;;;
46415000;1;27/10/2014;01/01/1900 12:02:30;146;58;13,683;41,54;38,00;0,329;1,09;;;;;;
46415000;1;01/08/2015;01/01/1900 09:40:00;147;62;15,471;41,78;38,00;0,370;1,10;;;;;;
46415000;1;03/12/2015;01/01/1900 10:49:00;148;66;15,893;46,325;39,00;0,343;1,19;;;;;;
46415000;1;29/01/2016;01/01/1900 10:34:00;150;110;53,216;67,78;43,00;0,785;1,58;;;;;;
46415000;1;29/01/2015;01/01/1900 09:58:30;149;110;52,294;66,21;43,00;0,790;1,54;;;;;;
46415000;1;16/06/2016;01/01/1900 09:44:00;151;57;13,753;45,332;39,02;0,303;1,97;;;;;;
46415000;1;31/08/2015;01/01/1900 10:20:00;152;55;10,272;40,103;36,50;0,256;1,10;;;;;;
46415000;1;28/11/2016;01/01/1900 10:50:00;153;73;18,359;46,605;39,00;0,394;1,20;;;;;;
46415000;1;31/01/2017;01/01/1900 10:35:00;154;62;16,345;43,651;37,25;0,374;1,17;;;;;;
46415000;1;09/05/2017;01/01/1900 12:13:00;155;55;12,783;40,201;35,73;0,318;1,12;;;;Luciano e Cunha;16;
46415000;1;23/11/2017;01/01/1900 11:15:00;156;76;25,454;48,546;35,35;0,524;1,37;;;;Anderson e Luciano;16;
46415000;1;25/01/2018;01/01/1900 09:56:00;157;60;15,111;42,516;36,53;0,355;1,16;;;;Luciano e Lucivalda;16;
46415000;1;15/09/2017;01/01/1900 14:48:00;158;53;12,03;39,901;35,63;0,301;1,11;;;;Luciano e Ringo;16;
46415000;1;23/04/2018;01/01/1900 10:05:00;159;72;22,989;44,645;33,36;0,515;1,33;;;;Diego e Linda;16;
46415000;1;21/08/2018;01/01/1900 09:48:00;160;54;11,897;38,66;36,41;0,308;1,06;;;;Anderson, Cunha e Luciano;16;
46415000;1;04/12/2018;01/01/1900 15:42:00;151;84;32,474;54,509;39,08;0,596;1,39;;;;Luciano e Licivalda;16;
46415000;1;23/01/2019;01/01/1900 09:00:00;100;57;14,5;42,5;38,40;0,341;1,11;;;;Nildo;4;
46415000;1;25/01/2018;01/01/1900 09:56:00;158;60;15,111;42,516;36,53;0,355;1,16;;;;Luciano e Lucivalda;16;
